date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2017-01-01,21,17,0.0,8.7,5,20,09:03 AM,08:36 PM,07:03 AM,05:51 PM,15,19,20,19,23,30,80,0.0,1021,21,10,76,16,hongkong
2017-01-02,22,17,0.0,8.7,5,27,09:47 AM,09:31 PM,07:03 AM,05:52 PM,17,21,21,21,14,11,80,0.0,1020,22,10,77,10,hongkong
2017-01-03,22,18,0.0,8.7,5,34,10:29 AM,10:26 PM,07:04 AM,05:52 PM,17,21,22,21,18,8,81,0.0,1019,22,10,81,14,hongkong
2017-01-04,22,18,0.0,8.7,5,41,11:11 AM,11:23 PM,07:04 AM,05:53 PM,17,21,22,21,20,8,82,0.0,1018,22,10,80,15,hongkong
2017-01-05,22,18,0.0,5.5,5,49,11:53 AM,No moonset,07:04 AM,05:54 PM,18,21,21,21,14,42,83,0.0,1017,22,10,72,9,hongkong
2017-01-06,23,19,0.0,8.7,6,56,12:35 PM,12:20 AM,07:04 AM,05:54 PM,19,22,23,22,15,32,84,0.0,1015,23,10,85,11,hongkong
2017-01-07,22,19,0.0,8.7,6,63,01:20 PM,01:19 AM,07:05 AM,05:55 PM,18,21,22,21,16,41,86,0.0,1014,22,10,86,12,hongkong
2017-01-08,24,20,0.0,8.7,6,70,02:07 PM,02:20 AM,07:05 AM,05:56 PM,18,23,25,23,7,24,76,0.0,1014,24,10,96,5,hongkong
2017-01-09,22,19,0.0,7.1,5,78,02:59 PM,03:23 AM,07:05 AM,05:56 PM,17,21,22,21,17,38,79,0.0,1016,22,10,67,12,hongkong
2017-01-10,21,19,0.0,8.7,5,85,03:54 PM,04:26 AM,07:05 AM,05:57 PM,16,20,20,20,27,70,81,0.1,1018,21,10,85,19,hongkong
2017-01-11,20,18,0.0,3.9,4,92,04:53 PM,05:29 AM,07:05 AM,05:58 PM,15,19,19,19,27,90,79,0.3,1018,20,9,74,19,hongkong
2017-01-12,20,16,0.0,3.9,4,100,05:55 PM,06:29 AM,07:05 AM,05:58 PM,14,18,18,18,22,85,76,0.1,1016,20,10,79,16,hongkong
2017-01-13,15,14,0.0,4.0,3,100,06:57 PM,07:26 AM,07:05 AM,05:59 PM,11,14,14,14,20,95,79,1.5,1016,15,9,102,16,hongkong
2017-01-14,16,14,0.0,5.5,3,86,07:57 PM,08:18 AM,07:05 AM,06:00 PM,12,14,15,14,22,98,82,3.4,1018,16,8,42,17,hongkong
2017-01-15,16,14,0.0,5.5,4,79,08:55 PM,09:05 AM,07:05 AM,06:00 PM,12,15,15,15,23,99,80,1.5,1021,16,7,39,17,hongkong
2017-01-16,16,14,0.0,5.5,3,71,09:50 PM,09:48 AM,07:05 AM,06:01 PM,12,14,15,14,24,91,81,2.3,1021,16,8,52,18,hongkong
2017-01-17,20,15,0.0,7.0,5,64,10:43 PM,10:28 AM,07:05 AM,06:02 PM,14,18,18,18,25,68,80,1.0,1021,20,8,65,18,hongkong
2017-01-18,19,18,0.0,5.5,4,57,11:35 PM,11:06 AM,07:05 AM,06:03 PM,16,19,19,19,17,87,83,0.1,1021,19,10,47,12,hongkong
2017-01-19,21,18,0.0,8.5,4,50,No moonrise,11:43 AM,07:05 AM,06:03 PM,17,20,20,20,12,77,84,0.0,1020,21,10,163,9,hongkong
2017-01-20,19,16,0.0,11.0,5,42,12:24 AM,12:19 PM,07:05 AM,06:04 PM,12,17,17,17,22,50,70,0.0,1023,19,10,70,17,hongkong
2017-01-21,18,13,0.0,11.0,5,35,01:14 AM,12:57 PM,07:05 AM,06:05 PM,9,16,16,16,19,39,61,0.0,1025,18,10,20,15,hongkong
2017-01-22,18,13,0.0,11.0,5,28,02:04 AM,01:37 PM,07:05 AM,06:05 PM,8,16,17,16,13,18,55,0.0,1026,18,10,57,10,hongkong
2017-01-23,19,15,0.0,11.0,5,20,02:54 AM,02:18 PM,07:05 AM,06:06 PM,10,17,17,17,22,34,65,0.0,1025,19,10,63,16,hongkong
2017-01-24,19,16,0.0,11.0,5,13,03:44 AM,03:03 PM,07:04 AM,06:07 PM,12,18,18,18,25,24,68,0.0,1025,19,10,72,19,hongkong
2017-01-25,20,17,0.0,11.0,5,6,04:34 AM,03:51 PM,07:04 AM,06:07 PM,13,18,19,18,19,29,73,0.0,1025,20,10,76,15,hongkong
2017-01-26,19,15,0.0,11.0,5,0,05:24 AM,04:41 PM,07:04 AM,06:08 PM,14,19,19,19,15,4,75,0.0,1024,19,10,77,13,hongkong
2017-01-27,20,15,0.0,11.1,5,0,06:12 AM,05:35 PM,07:04 AM,06:09 PM,12,20,20,20,13,0,63,0.0,1023,20,10,76,11,hongkong
2017-01-28,19,16,0.0,5.5,4,1,06:59 AM,06:29 PM,07:04 AM,06:09 PM,14,18,18,18,24,75,79,0.2,1018,19,10,81,17,hongkong
2017-01-29,20,18,0.0,5.5,4,8,07:45 AM,07:25 PM,07:03 AM,06:10 PM,17,19,19,19,20,91,89,0.6,1017,20,9,74,14,hongkong
2017-01-30,23,18,0.0,7.1,5,16,08:28 AM,08:21 PM,07:03 AM,06:11 PM,18,21,21,21,20,76,84,0.5,1018,23,8,46,14,hongkong
2017-01-31,19,16,0.0,7.1,4,20,09:11 AM,09:19 PM,07:03 AM,06:11 PM,14,18,18,18,22,86,76,0.3,1020,19,10,57,17,hongkong
2017-02-01,22,17,0.0,11.1,5,31,09:53 AM,10:16 PM,07:02 AM,06:12 PM,15,19,20,19,18,52,74,0.2,1021,22,10,59,14,hongkong
2017-02-02,20,17,0.0,10.1,5,39,10:35 AM,11:14 PM,07:02 AM,06:12 PM,14,18,18,18,24,37,75,0.0,1022,20,10,74,18,hongkong
2017-02-03,19,16,0.0,11.1,5,46,11:19 AM,No moonset,07:01 AM,06:13 PM,13,18,18,18,21,42,72,0.0,1020,19,10,73,16,hongkong
2017-02-04,21,17,0.0,10.1,5,54,12:04 PM,12:13 AM,07:01 AM,06:14 PM,14,19,20,19,15,41,74,1.1,1016,21,10,116,12,hongkong
2017-02-05,22,18,0.0,10.1,5,62,12:53 PM,01:14 AM,07:01 AM,06:14 PM,17,20,21,20,10,47,79,1.0,1014,22,10,86,8,hongkong
2017-02-06,21,18,0.0,10.1,5,69,01:45 PM,02:14 AM,07:00 AM,06:15 PM,15,19,20,19,31,56,77,0.0,1015,21,10,82,23,hongkong
2017-02-07,19,17,0.0,8.6,5,77,02:40 PM,03:16 AM,07:00 AM,06:16 PM,13,18,18,18,33,64,75,0.5,1016,19,9,82,25,hongkong
2017-02-08,19,15,0.0,5.8,4,84,03:40 PM,04:15 AM,06:59 AM,06:16 PM,15,18,18,18,24,85,84,1.6,1017,19,6,88,18,hongkong
2017-02-09,16,11,0.0,11.6,4,92,04:39 PM,05:12 AM,06:59 AM,06:17 PM,5,11,13,11,32,45,59,0.3,1021,16,10,9,25,hongkong
2017-02-10,15,10,0.0,11.6,4,99,05:40 PM,06:05 AM,06:58 AM,06:17 PM,3,10,12,10,21,39,52,0.0,1023,15,10,26,17,hongkong
2017-02-11,16,11,0.0,11.6,4,100,06:38 PM,06:54 AM,06:57 AM,06:18 PM,3,13,14,13,15,16,48,0.0,1026,16,10,47,12,hongkong
2017-02-12,17,13,0.0,11.6,4,86,07:36 PM,07:40 AM,06:57 AM,06:18 PM,7,16,16,16,13,5,55,0.0,1027,17,10,70,11,hongkong
